Date : 2024-03-18 12:06:55
Directory : d:\Programming\Projects\library\client\src\dashboard\admin\pages\manage-staff
Total : 203 files,  -107512 codes, -98 comments, -1450 blanks, all -109060 lines

Languages
+----------------+------------+------------+------------+------------+------------+
| language       | files      | code       | comment    | blank      | total      |
| d:\Programming\Projects\library\client\src\dashboard\admin\pages\manage-students\approve-student\approve-student.page.admin.jsx                 | JavaScript JSX |        -85 |          0 |        -11 |        -96 |
| d:\Programming\Projects\library\client\src\dashboard\admin\pages\manage-students\approve-student\view-applicant.page.admin.jsx                  | JavaScript JSX |       -118 |          0 |         -9 |       -127 |
| d:\Programming\Projects\library\client\src\dashboard\admin\pages\manage-students\library-cards\add-library-card\add-library-card.page.admin.jsx | JavaScript JSX |       -127 |          0 |        -10 |       -137 |
| d:\Programming\Projects\library\client\src\dashboard\admin\pages\manage-students\manage-students.page.admin.jsx                                 | JavaScript JSX |        -31 |          0 |         -3 |        -34 |
| d:\Programming\Projects\library\client\src\dashboard\admin\pages\manage-students\search-students\search-student.page.admin.jsx                  | JavaScript JSX |        -96 |          0 |        -11 |       -107 |
| d:\Programming\Projects\library\client\src\dashboard\admin\pages\manage-students\view-student\view-student.page.admin.jsx                       | JavaScript JSX |        -99 |          0 |        -12 |       -111 |
| d:\Programming\Projects\library\client\src\dashboard\admin\pages\profile\change-password\change-password.page.admin.jsx                         | JavaScript JSX |        -91 |          0 |         -8 |        -99 |
| d:\Programming\Projects\library\client\src\dashboard\admin\pages\profile\profile.page.admin.jsx                                                 | JavaScript JSX |        -14 |          0 |         -3 |        -17 |
| d:\Programming\Projects\library\client\src\dashboard\admin\routes\admin-routes.route.admin.jsx                                                  | JavaScript JSX |        -28 |          0 |         -3 |        -31 |
| d:\Programming\Projects\library\client\src\dashboard\admin\routes\database.routes.admin.jsx                                                     | JavaScript JSX |        -34 |          0 |         -3 |        -37 |
| d:\Programming\Projects\library\client\src\dashboard\admin\routes\issue-books.route.admin.jsx                                                   | JavaScript JSX |        -28 |          0 |         -3 |        -31 |
| d:\Programming\Projects\library\client\src\dashboard\admin\routes\manage-books.route.admin.jsx                                                  | JavaScript JSX |        -18 |          0 |         -3 |        -21 |
| d:\Programming\Projects\library\client\src\dashboard\admin\routes\manage-fines.routes.admin.jsx                                                 | JavaScript JSX |        -14 |          0 |         -3 |        -17 |
| d:\Programming\Projects\library\client\src\dashboard\admin\routes\manage-staff.route.admin.jsx                                                  | JavaScript JSX |        -16 |          0 |         -3 |        -19 |
| d:\Programming\Projects\library\client\src\dashboard\admin\routes\manage-students.route.jsx                                                     | JavaScript JSX |        -25 |          0 |         -3 |        -28 |
| d:\Programming\Projects\library\client\src\dashboard\admin\routes\profile.router.jsx                                                            | JavaScript JSX |        -12 |          0 |         -3 |        -15 |
| d:\Programming\Projects\library\client\src\dashboard\admin\settings\manage-programs\manage-programs.page.admin.jsx                              | JavaScript JSX |         -8 |          0 |         -2 |        -10 |
| d:\Programming\Projects\library\client\src\dashboard\applicant\applicant.page.jsx                                                               | JavaScript JSX |        -32 |          0 |         -6 |        -38 |
| d:\Programming\Projects\library\client\src\dashboard\applicant\applied-status.page.applicant.jsx                                                | JavaScript JSX |        -83 |          0 |         -5 |        -88 |
| d:\Programming\Projects\library\client\src\dashboard\applicant\apply-student.page.applicant.jsx                                                 | JavaScript JSX |       -334 |          0 |        -20 |       -354 |
| d:\Programming\Projects\library\client\src\dashboard\dashboard.routes.jsx                                                                       | JavaScript JSX |        -49 |         -3 |         -3 |        -55 |
| d:\Programming\Projects\library\client\src\dashboard\http-requests.js                                                                           | JavaScript     |       -100 |          0 |        -23 |       -123 |
| d:\Programming\Projects\library\client\src\dashboard\login-page\forgot-password.page.jsx                                                        | JavaScript JSX |       -177 |         -1 |        -15 |       -193 |
| d:\Programming\Projects\library\client\src\dashboard\login-page\login-page.page.jsx                                                             | JavaScript JSX |       -104 |          0 |        -15 |       -119 |
| d:\Programming\Projects\library\client\src\dashboard\login-page\login-page.styles.css                                                           | CSS            |        -16 |          0 |         -2 |        -18 |
| d:\Programming\Projects\library\client\src\dashboard\login-page\sign-up.page.jsx                                                                | JavaScript JSX |       -168 |         -1 |        -11 |       -180 |
| d:\Programming\Projects\library\client\src\dashboard\staff\components\navbar\navbar.component.jsx                                               | JavaScript JSX |       -102 |          0 |        -11 |       -113 |
| d:\Programming\Projects\library\client\src\dashboard\staff\hooks\http-requests.hooks.admin.js                                                   | JavaScript     |       -608 |         -1 |        -47 |       -656 |
| d:\Programming\Projects\library\client\src\dashboard\staff\hooks\useSignOut.hooks.jsx                                                           | JavaScript JSX |        -11 |          0 |         -5 |        -16 |
| d:\Programming\Projects\library\client\src\dashboard\staff\pages\homepage\homepage.page.staff.jsx                                               | JavaScript JSX |         -9 |          0 |         -2 |        -11 |
| d:\Programming\Projects\library\client\src\dashboard\staff\pages\issue-book\issue-book-route.admin.jsx                                          | JavaScript JSX |        -29 |          0 |         -3 |        -32 |
| d:\Programming\Projects\library\client\src\dashboard\staff\pages\issue-book\issue-new-book\issue-new-book.page.staff.jsx                        | JavaScript JSX |       -261 |          0 |        -18 |       -279 |
| d:\Programming\Projects\library\client\src\dashboard\staff\pages\issue-book\return-issued-book\return-issued-book.page.staff.jsx                | JavaScript JSX |       -199 |          0 |        -15 |       -214 |
| d:\Programming\Projects\library\client\src\dashboard\staff\pages\issue-book\search-issued-books\search-issued-books.page.staff.jsx              | JavaScript JSX |       -154 |          0 |        -12 |       -166 |
| d:\Programming\Projects\library\client\src\dashboard\staff\pages\issue-book\search-issued-books\view-book.issue-book.page.admin.jsx             | JavaScript JSX |        -52 |          0 |         -7 |        -59 |
| d:\Programming\Projects\library\client\src\dashboard\staff\pages\issue-book\searh-returned-books\search-returned-books.page.staff.jsx           | JavaScript JSX |       -158 |          0 |        -11 |       -169 |
| d:\Programming\Projects\library\client\src\dashboard\staff\pages\issue-book\searh-returned-books\view-book.issue-book.page.admin.jsx            | JavaScript JSX |        -55 |          0 |         -7 |        -62 |
| d:\Programming\Projects\library\client\src\dashboard\staff\pages\issue-book\view-book\view-book.issue-book.page.staff.jsx                       | JavaScript JSX |        -62 |          0 |         -7 |        -69 |
| d:\Programming\Projects\library\client\src\dashboard\staff\pages\manage-books\add-book\add-book.page.staff.jsx                                  | JavaScript JSX |       -164 |        -12 |        -11 |       -187 |
| d:\Programming\Projects\library\client\src\dashboard\staff\pages\manage-books\book-accessions\add-book-accession.page.staff.jsx                 | JavaScript JSX |       -155 |          0 |        -13 |       -168 |
| d:\Programming\Projects\library\client\src\dashboard\staff\pages\manage-books\manage-books.page.admin.jsx                                       | JavaScript JSX |        -24 |          0 |         -3 |        -27 |
| d:\Programming\Projects\library\client\src\dashboard\staff\pages\manage-books\search-books\search-books.page.staff.jsx                          | JavaScript JSX |       -105 |          0 |        -11 |       -116 |
| d:\Programming\Projects\library\client\src\dashboard\staff\pages\manage-books\view-book\view-book.page.staff.jsx                                | JavaScript JSX |        -78 |          0 |         -8 |        -86 |
| d:\Programming\Projects\library\client\src\dashboard\staff\pages\manage-students\add-student\add-student.page.staff.jsx                         | JavaScript JSX |       -186 |         -1 |        -11 |       -198 |
| d:\Programming\Projects\library\client\src\dashboard\staff\pages\manage-students\approve-student\approve-student.page.staff.jsx                 | JavaScript JSX |        -89 |          0 |         -9 |        -98 |
| d:\Programming\Projects\library\client\src\dashboard\staff\pages\manage-students\approve-student\view-applicant.page.admin.jsx                  | JavaScript JSX |       -117 |          0 |         -9 |       -126 |
| d:\Programming\Projects\library\client\src\dashboard\staff\pages\manage-students\library-cards\add-library-card\add-library-card.page.staff.jsx | JavaScript JSX |       -148 |          0 |        -13 |       -161 |
| d:\Programming\Projects\library\client\src\dashboard\staff\pages\manage-students\manage-students.page.staff.jsx                                 | JavaScript JSX |        -29 |          0 |         -3 |        -32 |
| d:\Programming\Projects\library\client\src\dashboard\staff\pages\manage-students\search-students\search-student.page.staff.jsx                  | JavaScript JSX |        -84 |          0 |         -9 |        -93 |
| d:\Programming\Projects\library\client\src\dashboard\staff\pages\manage-students\view-student\view-student.page.staff.jsx                       | JavaScript JSX |        -72 |          0 |         -8 |        -80 |
| d:\Programming\Projects\library\client\src\dashboard\staff\pages\profile\change-password\change-password.page.staff.jsx                         | JavaScript JSX |        -88 |          0 |         -8 |        -96 |
| d:\Programming\Projects\library\client\src\dashboard\staff\pages\profile\profile.page.staff.jsx                                                 | JavaScript JSX |        -14 |          0 |         -3 |        -17 |
| d:\Programming\Projects\library\client\src\dashboard\staff\routes\issue-books.route.staff.jsx                                                   | JavaScript JSX |        -28 |          0 |         -3 |        -31 |
| d:\Programming\Projects\library\client\src\dashboard\staff\routes\manage-books.route.staff.jsx                                                  | JavaScript JSX |        -18 |          0 |         -3 |        -21 |
| d:\Programming\Projects\library\client\src\dashboard\staff\routes\manage-students.staff.jsx                                                     | JavaScript JSX |        -28 |          0 |         -3 |        -31 |
| d:\Programming\Projects\library\client\src\dashboard\staff\routes\profile.router.jsx                                                            | JavaScript JSX |        -12 |          0 |         -3 |        -15 |
| d:\Programming\Projects\library\client\src\dashboard\staff\routes\staff-routes.route.staff.jsx                                                  | JavaScript JSX |        -22 |          0 |         -3 |        -25 |
| d:\Programming\Projects\library\client\src\dashboard\student\components\navbar\navbar.component.user.jsx                                        | JavaScript JSX |        -86 |          0 |         -8 |        -94 |
| d:\Programming\Projects\library\client\src\dashboard\student\hooks\http-requests.hooks.student.js                                               | JavaScript     |        -24 |          0 |         -3 |        -27 |
| d:\Programming\Projects\library\client\src\dashboard\student\pages\homepage\homepage.page.user.jsx                                              | JavaScript JSX |         -9 |          0 |         -2 |        -11 |
| d:\Programming\Projects\library\client\src\dashboard\student\pages\issue-history\issue-history.page.student.jsx                                 | JavaScript JSX |       -132 |          0 |         -9 |       -141 |
| d:\Programming\Projects\library\client\src\dashboard\student\routes\student-routes.user.jsx                                                     | JavaScript JSX |        -16 |          0 |         -3 |        -19 |
| d:\Programming\Projects\library\client\src\index.css                                                                                            | CSS            |        -35 |          0 |         -6 |        -41 |
| d:\Programming\Projects\library\client\src\index.js                                                                                             | JavaScript     |        -16 |          0 |         -2 |        -18 |
| d:\Programming\Projects\library\client\src\utils\functions.js                                                                                   | JavaScript     |        -55 |         -9 |        -15 |        -79 |
| d:\Programming\Projects\library\package-lock.json                                                                                               | JSON           |       -317 |          0 |         -1 |       -318 |
| d:\Programming\Projects\library\package.json                                                                                                    | JSON           |        -14 |          0 |         -1 |        -15 |
| d:\Programming\Projects\library\server\books1-sorted.js                                                                                         | JavaScript     |    -11,421 |          0 |         -2 |    -11,423 |
| d:\Programming\Projects\library\server\package-lock.json                                                                                        | JSON           |     -3,272 |          0 |         -1 |     -3,273 |
| d:\Programming\Projects\library\server\package.json                                                                                             | JSON           |        -30 |          0 |         -1 |        -31 |
| d:\Programming\Projects\library\server\src\Student Registration Detail Form.html                                                                | HTML           |        -18 |          0 |         -1 |        -19 |
| d:\Programming\Projects\library\server\src\app.js                                                                                               | JavaScript     |        -35 |         -2 |        -10 |        -47 |
| d:\Programming\Projects\library\server\src\index.js                                                                                             | JavaScript     |        -12 |          0 |         -6 |        -18 |
| d:\Programming\Projects\library\server\src\models\applications\applications.controllers.js                                                      | JavaScript     |        -32 |          0 |         -7 |        -39 |
| d:\Programming\Projects\library\server\src\models\applications\applications.schema.js                                                           | JavaScript     |        -20 |          0 |         -3 |        -23 |
| d:\Programming\Projects\library\server\src\models\auth\admin\aduth_admin.controllers.js                                                         | JavaScript     |        -24 |          0 |         -6 |        -30 |
| d:\Programming\Projects\library\server\src\models\auth\applicant\auth_applicant.controllers.js                                                  | JavaScript     |        -37 |          0 |         -7 |        -44 |
| d:\Programming\Projects\library\server\src\models\auth\auth.schema.js                                                                           | JavaScript     |        -53 |          0 |         -7 |        -60 |
| d:\Programming\Projects\library\server\src\models\auth\functions.js                                                                             | JavaScript     |        -24 |         -1 |         -4 |        -29 |
| d:\Programming\Projects\library\server\src\models\auth\student\auth_student.controllers.js                                                      | JavaScript     |        -15 |          0 |         -5 |        -20 |
| d:\Programming\Projects\library\server\src\models\book-accessions\book-accessions.controllers.js                                                | JavaScript     |        -29 |          0 |         -6 |        -35 |
| d:\Programming\Projects\library\server\src\models\book-accessions\book-accessions.schema.js                                                     | JavaScript     |        -11 |          0 |         -3 |        -14 |
| d:\Programming\Projects\library\server\src\models\books\books.controllers.js                                                                    | JavaScript     |        -80 |          0 |        -15 |        -95 |
| d:\Programming\Projects\library\server\src\models\books\books.schema.js                                                                         | JavaScript     |        -18 |          0 |         -3 |        -21 |
| d:\Programming\Projects\library\server\src\models\fines\fines.controllers.js                                                                    | JavaScript     |        -23 |          0 |         -9 |        -32 |
| d:\Programming\Projects\library\server\src\models\fines\fines.schema.js                                                                         | JavaScript     |        -19 |          0 |         -3 |        -22 |
| d:\Programming\Projects\library\server\src\models\issue-book\issue-book.controllers.js                                                          | JavaScript     |       -104 |          0 |        -19 |       -123 |
| d:\Programming\Projects\library\server\src\models\issue-book\issue-book.schema.js                                                               | JavaScript     |        -21 |          0 |         -3 |        -24 |
| d:\Programming\Projects\library\server\src\models\library-cards\library-cards.controllers.js                                                    | JavaScript     |        -29 |          0 |         -7 |        -36 |
| d:\Programming\Projects\library\server\src\models\library-cards\library-cards.schema.js                                                         | JavaScript     |        -21 |          0 |         -3 |        -24 |
| d:\Programming\Projects\library\server\src\models\returned-book\returned-books.controllers.models.js                                            | JavaScript     |       -158 |          0 |        -30 |       -188 |
| d:\Programming\Projects\library\server\src\models\returned-book\returned-books.schema.js                                                        | JavaScript     |        -39 |          0 |         -3 |        -42 |
| d:\Programming\Projects\library\server\src\models\staff\staff.controllers.js                                                                    | JavaScript     |        -11 |          0 |         -5 |        -16 |
| d:\Programming\Projects\library\server\src\models\staff\staff.schema.js                                                                         | JavaScript     |        -20 |          0 |         -3 |        -23 |
| d:\Programming\Projects\library\server\src\models\students\students.controllers.js                                                              | JavaScript     |        -45 |          0 |        -13 |        -58 |
| d:\Programming\Projects\library\server\src\models\students\students.schema.js                                                                   | JavaScript     |        -17 |          0 |         -3 |        -20 |
| d:\Programming\Projects\library\server\src\router\admin\admin.router.js                                                                         | JavaScript     |        -13 |          0 |         -4 |        -17 |
| d:\Programming\Projects\library\server\src\router\admin\books\books.middlewares.admin.js                                                        | JavaScript     |        -63 |          0 |         -5 |        -68 |
| d:\Programming\Projects\library\server\src\router\admin\books\books.router.admin.js                                                             | JavaScript     |       -109 |          0 |        -10 |       -119 |
| d:\Programming\Projects\library\server\src\router\admin\database\database.router.admin.js                                                       | JavaScript     |       -163 |          0 |        -14 |       -177 |
| d:\Programming\Projects\library\server\src\router\admin\fines\fines.middlewares.js                                                              | JavaScript     |          0 |          0 |         -1 |         -1 |
| d:\Programming\Projects\library\server\src\router\admin\fines\fines.router.admin.js                                                             | JavaScript     |        -55 |          0 |         -8 |        -63 |
| d:\Programming\Projects\library\server\src\router\admin\issue-book\issue-book.middlewares.js                                                    | JavaScript     |       -226 |         -6 |        -16 |       -248 |
| d:\Programming\Projects\library\server\src\router\admin\issue-book\issue-book.router.admin.js                                                   | JavaScript     |       -107 |          0 |        -12 |       -119 |
| d:\Programming\Projects\library\server\src\router\admin\return-book\return-book.middlewares.js                                                  | JavaScript     |       -156 |         -6 |        -14 |       -176 |
| d:\Programming\Projects\library\server\src\router\admin\return-book\return-book.router.admin.js                                                 | JavaScript     |        -84 |          0 |        -11 |        -95 |
| d:\Programming\Projects\library\server\src\router\admin\settings\settings.router.admin.js                                                       | JavaScript     |        -45 |          0 |         -6 |        -51 |
| d:\Programming\Projects\library\server\src\router\admin\staff\staff.middlewares.js                                                              | JavaScript     |        -37 |          0 |         -4 |        -41 |
| d:\Programming\Projects\library\server\src\router\admin\staff\staff.router.admin.js                                                             | JavaScript     |        -40 |          0 |         -6 |        -46 |
| d:\Programming\Projects\library\server\src\router\admin\students\students.middlewares.js                                                        | JavaScript     |       -128 |         -2 |        -11 |       -141 |
| d:\Programming\Projects\library\server\src\router\admin\students\students.router.admin.js                                                       | JavaScript     |       -134 |          0 |        -15 |       -149 |
| d:\Programming\Projects\library\server\src\router\applicant\applicant.router.js                                                                 | JavaScript     |        -41 |          0 |         -6 |        -47 |
| d:\Programming\Projects\library\server\src\router\auth\admin\admin.auth.middlewares.js                                                          | JavaScript     |        -76 |          0 |         -6 |        -82 |
| d:\Programming\Projects\library\server\src\router\auth\admin\admin.auth.router.js                                                               | JavaScript     |        -72 |          0 |         -7 |        -79 |
| d:\Programming\Projects\library\server\src\router\auth\applicants\applicants.auth.router.js                                                     | JavaScript     |        -57 |          0 |         -6 |        -63 |
| d:\Programming\Projects\library\server\src\router\auth\applicants\applicants.middlewares.auth.js                                                | JavaScript     |       -119 |         -6 |        -16 |       -141 |
| d:\Programming\Projects\library\server\src\router\auth\auth-secured.router.js                                                                   | JavaScript     |        -63 |          0 |        -12 |        -75 |
| d:\Programming\Projects\library\server\src\router\auth\auth.middlewares.js                                                                      | JavaScript     |        -32 |          0 |         -4 |        -36 |
| d:\Programming\Projects\library\server\src\router\auth\auth.router.js                                                                           | JavaScript     |        -18 |          0 |         -5 |        -23 |
| d:\Programming\Projects\library\server\src\router\auth\jwt.js                                                                                   | JavaScript     |        -16 |          0 |         -5 |        -21 |
| d:\Programming\Projects\library\server\src\router\auth\students\students-router.auth.router.js                                                  | JavaScript     |        -25 |          0 |         -4 |        -29 |
| d:\Programming\Projects\library\server\src\router\auth\students\students.auth.middlewares.js                                                    | JavaScript     |        -19 |          0 |         -3 |        -22 |
| d:\Programming\Projects\library\server\src\router\router.js                                                                                     | JavaScript     |        -90 |          0 |        -15 |       -105 |
| d:\Programming\Projects\library\server\src\router\student\issue-history\issue-history.router.student.js                                         | JavaScript     |        -39 |          0 |         -5 |        -44 |
| d:\Programming\Projects\library\server\src\secrets.js                                                                                           | JavaScript     |          0 |          0 |         -1 |         -1 |
| d:\Programming\Projects\library\server\src\services\email-templates.js                                                                          | JavaScript     |        -89 |          0 |         -4 |        -93 |
| d:\Programming\Projects\library\server\src\services\mongo-functions.js                                                                          | JavaScript     |        -15 |          0 |         -5 |        -20 |
| d:\Programming\Projects\library\server\src\services\mongo.js                                                                                    | JavaScript     |        -36 |        -10 |        -10 |        -56 |
| d:\Programming\Projects\library\server\src\services\nodemailer.js                                                                               | JavaScript     |         -7 |          0 |         -3 |        -10 |
| d:\Programming\Projects\library\server\src\utils\custom-response-codes.js                                                                       | JavaScript     |       -336 |          0 |         -3 |       -339 |
| d:\Programming\Projects\library\server\src\utils\excel-bulk.entry.js                                                                            | JavaScript     |       -139 |         -5 |        -16 |       -160 |
| d:\Programming\Projects\library\server\src\utils\functions.js                                                                                   | JavaScript     |       -147 |         -1 |        -30 |       -178 |
| Total                                                                                                                                           |                |   -107,512 |        -98 |     -1,450 |   -109,060 |
+-------------------------------------------------------------------------------------------------------------------------------------------------+----------------+------------+------------+------------+------------+
